Time,Channel A,Channel B
(s),(V),(V)

-49.98559836,3.62204700,0.70866140
-49.98549836,3.62204700,0.70866140
-49.98539836,3.62204700,0.70866140
-49.98529836,3.46456700,0.70866140
-49.98519836,3.46456700,0.70866140
-49.98509836,3.46456700,0.70866140
-49.98499836,3.30708700,0.70866140
-49.98489836,3.30708700,0.70866140
-49.98479836,3.30708700,0.70866140
-49.98469836,3.14960600,0.70866140
-49.98459836,3.14960600,0.70866140
-49.98449836,2.99212600,0.70866140
-49.98439836,2.99212600,0.70866140
-49.98429836,2.99212600,0.70866140
-49.98419836,2.83464600,0.70866140
-49.98409836,2.83464600,0.70866140
-49.98399836,2.67716500,0.70866140
-49.98389836,2.67716500,0.70866140
-49.98379836,2.67716500,0.70866140
-49.98369836,2.51968500,0.70866140
-49.98359836,2.51968500,0.70866140
-49.98349836,2.51968500,0.70866140
-49.98339836,2.36220500,0.70866140
-49.98329836,2.36220500,0.70866140
-49.98319836,2.20472400,0.70866140
-49.98309836,2.20472400,0.70866140
-49.98299836,2.20472400,0.70866140
-49.98289836,2.04724400,0.70866140
-49.98279836,2.04724400,0.70866140
-49.98269836,2.04724400,0.70866140
-49.98259836,1.88976400,0.70866140
-49.98249836,1.88976400,0.70866140
-49.98239836,1.73228300,0.70866140
-49.98229836,1.73228300,0.70866140
-49.98219836,1.73228300,0.70866140
-49.98209836,1.57480300,0.70866140
-49.98199836,1.57480300,0.70866140
-49.98189836,1.57480300,0.70866140
-49.98179836,1.57480300,0.70866140
-49.98169836,1.73228300,0.70866140
-49.98159836,1.73228300,0.70866140
-49.98149836,1.88976400,0.70866140
-49.98139836,1.88976400,0.70866140
-49.98129836,2.04724400,0.70866140
-49.98119836,2.04724400,0.70866140
-49.98109836,2.20472400,0.70866140
-49.98099836,2.20472400,0.70866140
-49.98089836,2.36220500,0.70866140
-49.98079836,2.36220500,0.70866140
-49.98069836,2.51968500,0.70866140
-49.98059836,2.51968500,0.70866140
-49.98049836,2.67716500,0.70866140
-49.98039836,2.67716500,0.70866140
-49.98029836,2.83464600,0.70866140
-49.98019836,2.83464600,0.70866140
-49.98009836,2.99212600,0.70866140
-49.97999836,2.99212600,0.70866140
-49.97989836,3.14960600,0.70866140
-49.97979836,3.14960600,0.70866140
-49.97969836,3.14960600,0.70866140
-49.97959836,3.30708700,0.70866140
-49.97949836,3.30708700,0.70866140
-49.97939836,3.46456700,0.70866140
-49.97929836,3.46456700,0.70866140
-49.97919836,3.62204700,0.70866140
-49.97909836,3.62204700,0.70866140
-49.97899836,3.77952800,0.70866140
-49.97889836,3.77952800,0.70866140
-49.97879836,3.93700800,0.70866140
-49.97869836,3.93700800,0.70866140
-49.97859836,4.09448800,0.70866140
-49.97849836,4.09448800,0.70866140
-49.97839836,4.09448800,0.70866140
-49.97829836,4.25196800,0.70866140
-49.97819836,4.25196800,0.70866140
-49.97809836,4.40944900,0.70866140
-49.97799836,4.40944900,0.70866140
-49.97789836,4.56692900,0.70866140
-49.97779836,4.56692900,0.78740160
-49.97769836,4.72441000,0.70866140
-49.97759836,4.72441000,0.70866140
-49.97749836,4.72441000,0.70866140
-49.97739836,4.88189000,0.70866140
-49.97729836,4.88189000,0.70866140
-49.97719836,5.03937000,0.70866140
-49.97709836,5.03937000,0.70866140
-49.97699836,5.19685000,0.70866140
-49.97689836,5.19685000,0.70866140
-49.97679836,5.35433100,0.70866140
-49.97669836,5.35433100,0.70866140
-49.97659836,5.35433100,0.70866140
-49.97649836,5.51181100,0.70866140
-49.97639836,5.51181100,0.70866140
-49.97629836,5.66929100,0.70866140
-49.97619836,5.66929100,0.70866140
-49.97609836,5.82677200,0.70866140
-49.97599836,5.82677200,0.70866140
-49.97589836,5.82677200,0.70866140
-49.97579836,5.98425200,0.70866140
-49.97569836,5.98425200,0.70866140
-49.97559836,6.14173200,0.70866140
-49.97549836,6.14173200,0.70866140
-49.97539836,6.29921200,0.70866140
-49.97529836,6.29921200,0.70866140
-49.97519836,6.29921200,0.70866140
-49.97509836,6.45669300,0.70866140
-49.97499836,6.45669300,0.70866140
-49.97489836,6.61417300,0.70866140
-49.97479836,6.61417300,0.70866140
-49.97469836,6.77165400,0.70866140
-49.97459836,6.77165400,0.70866140
-49.97449836,6.92913400,0.70866140
-49.97439836,6.92913400,0.70866140
-49.97429836,6.92913400,0.70866140
-49.97419836,7.08661400,0.70866140
-49.97409836,7.08661400,0.70866140
-49.97399836,7.24409400,0.70866140
-49.97389836,7.24409400,0.70866140
-49.97379836,7.40157500,0.70866140
-49.97369836,7.40157500,0.70866140
-49.97359836,7.40157500,0.70866140
-49.97349836,7.55905500,0.70866140
-49.97339836,7.55905500,0.70866140
-49.97329836,7.71653600,0.70866140
-49.97319836,7.71653600,0.70866140
-49.97309836,7.87401600,0.70866140
-49.97299836,7.87401600,0.70866140
-49.97289836,7.87401600,0.70866140
-49.97279836,8.03149600,0.70866140
-49.97269836,8.03149600,0.70866140
-49.97259836,8.18897600,0.70866140
-49.97249836,8.18897600,0.70866140
-49.97239836,8.18897600,0.70866140
-49.97229836,8.34645700,0.70866140
-49.97219836,8.34645700,0.70866140
-49.97209836,8.50393700,0.70866140
-49.97199836,8.50393700,0.70866140
-49.97189836,8.66141700,0.70866140
-49.97179836,8.66141700,0.70866140
-49.97169836,8.66141700,0.70866140
-49.97159836,8.81889700,0.70866140
-49.97149836,8.81889700,0.70866140
-49.97139836,8.97637700,0.70866140
-49.97129836,8.97637700,0.70866140
-49.97119836,9.13385900,0.70866140
-49.97109836,9.13385900,0.70866140
-49.97099836,9.13385900,0.70866140
-49.97089836,9.29133900,0.70866140
-49.97079837,9.29133900,0.70866140
-49.97069837,9.44881900,0.70866140
-49.97059837,9.44881900,0.70866140
-49.97049837,9.44881900,0.70866140
-49.97039837,9.60629900,0.70866140
-49.97029837,9.60629900,0.70866140
-49.97019837,9.76378000,0.70866140
-49.97009837,9.76378000,0.70866140
-49.96999837,9.76378000,0.70866140
-49.96989837,9.92126000,0.70866140
-49.96979837,9.92126000,0.70866140
-49.96969837,10.07874000,0.70866140
-49.96959837,10.07874000,0.70866140
-49.96949837,10.23622000,0.70866140
-49.96939837,10.23622000,0.70866140
-49.96929837,10.23622000,0.70866140
-49.96919837,10.39370000,0.70866140
-49.96909837,10.39370000,0.70866140
-49.96899837,10.55118000,0.70866140
-49.96889837,10.55118000,0.70866140
-49.96879837,10.55118000,0.70866140
-49.96869837,10.70866000,0.70866140
-49.96859837,10.70866000,0.70866140
-49.96849837,10.86614000,0.70866140
-49.96839837,10.86614000,0.70866140
-49.96829837,10.86614000,0.70866140
-49.96819837,11.02362000,0.70866140
-49.96809837,11.02362000,0.70866140
-49.96799837,11.18110000,0.70866140
-49.96789837,11.18110000,0.70866140
-49.96779837,11.33858000,0.70866140
-49.96769837,11.33858000,0.70866140
-49.96759837,11.33858000,0.70866140
-49.96749837,11.49606000,0.70866140
-49.96739837,11.49606000,0.70866140
-49.96729837,11.65354000,0.70866140
-49.96719837,11.65354000,0.70866140
-49.96709837,11.65354000,0.70866140
-49.96699837,11.81102000,0.70866140
-49.96689837,11.81102000,0.70866140
-49.96679837,11.96850000,0.70866140
-49.96669837,11.96850000,0.70866140
-49.96659837,12.12598000,0.70866140
-49.96649837,12.12598000,0.70866140
-49.96639837,12.12598000,0.70866140
-49.96629837,12.28346000,0.70866140
-49.96619837,12.28346000,0.70866140
-49.96609837,12.44094000,0.70866140
-49.96599837,12.44094000,0.70866140
-49.96589837,12.44094000,0.70866140
-49.96579837,12.59842000,0.70866140
-49.96569837,12.59842000,0.70866140
-49.96559837,12.59842000,0.70866140
-49.96549837,12.75591000,0.70866140
-49.96539837,12.75591000,0.70866140
-49.96529837,12.91339000,0.70866140
-49.96519837,12.91339000,0.70866140
-49.96509837,12.91339000,0.70866140
-49.96499837,13.07087000,0.70866140
-49.96489837,13.07087000,0.70866140
-49.96479837,13.22835000,0.70866140
-49.96469837,13.22835000,0.70866140
-49.96459837,13.22835000,0.70866140
